# channels number
6
# samples number
      1214
# sampling rate
         1
# start date
20-07-2014
# start time
18:32:21.000
# channels names
BHN;BHE;
228667 -476493 
228749 -476497 
228699 -476533 
228698 -476550 
228723 -476528 
228643 -476525 
228653 -476545 
228654 -476524 
228668 -476582 
228623 -476543 
228594 -476476 
228577 -476571 
228569 -476499 
228563 -476544 
228592 -476503 
228510 -476568 
228580 -476497 
228521 -476524 
228550 -476494 
228585 -476514 
228550 -476510 
228518 -476477 
228596 -476498 
228538 -476434 
228567 -476470 
228547 -476440 
228563 -476507 
228564 -476387 
228545 -476411 
228571 -476405 
228533 -476448 
228546 -476380 
228518 -476357 
228529 -476325 
228525 -476322 
228472 -476331 
228530 -476311 
228518 -476320 
228383 -476331 
228509 -476308 
228444 -476267 
228470 -476357 
228430 -476194 
228437 -476299 
228438 -476267 
228450 -476223 
228456 -476290 
228430 -476287 
228474 -476269 
228387 -476238 
228476 -476300 
228383 -476214 
228395 -476335 
228375 -476262 
228353 -476289 
228294 -476270 
228234 -476308 
228220 -476249 
228186 -476292 
228255 -476234 
228165 -476229 
228183 -476271 
228133 -476232 
228166 -476194 
228142 -476252 
228108 -476227 
228124 -476203 
228111 -476207 
228148 -476203 
228081 -476231 
228132 -476205 
228127 -476222 
228131 -476142 
228125 -476197 
228143 -476189 
228112 -476193 
228112 -476178 
228127 -476159 
228151 -476113 
228150 -476156 
228104 -476120 
228102 -476090 
228121 -476032 
228095 -476102 
228190 -476044 
228019 -476039 
228138 -476010 
228035 -475965 
228148 -476013 
227988 -475977 
228068 -475987 
228048 -475900 
228029 -475966 
228021 -475938 
227972 -475912 
228024 -475938 
228020 -475871 
227996 -475953 
228071 -475845 
227991 -475908 
228039 -475830 
